gwwc_year
NA
NA
NA
NA
FALSE
NA
FALSE
NA
FALSE
NA
NA
NA
FALSE
NA
NA
NA
NA
2014
TRUE
FALSE
NA
2016
NA
FALSE
2015
2017
NA
NA
TRUE
TRUE
NA
NA
NA
NA
NA
2016
NA
NA
2015
2018
NA
NA
FALSE
NA
FALSE
2014
NA
NA
NA
NA
NA
NA
NA
FALSE
NA
2014
NA
NA
NA
NA
NA
NA
NA
2016
TRUE
NA
FALSE
TRUE
NA
NA
NA
NA
FALSE
NA
NA
NA
FALSE
2016
FALSE
NA
NA
NA
NA
2015
NA
NA
FALSE
NA
TRUE
NA
NA
2009
NA
NA
NA
NA
NA
2018
NA
NA
NA
FALSE
NA
2015
FALSE
FALSE
TRUE
TRUE
NA
FALSE
NA
TRUE
NA
NA
TRUE
NA
2016
FALSE
2016
FALSE
2016
NA
NA
NA
FALSE
TRUE
NA
FALSE
2017
2016
FALSE
NA
NA
NA
TRUE
2016
FALSE
FALSE
NA
TRUE
NA
NA
NA
TRUE
2014
NA
NA
NA
NA
NA
NA
NA
2015
NA
2016
NA
FALSE
FALSE
2013
2015
NA
2016
FALSE
NA
NA
NA
2017
NA
NA
NA
2016
NA
NA
NA
FALSE
FALSE
FALSE
TRUE
NA
2014
FALSE
2014
NA
TRUE
NA
NA
NA
NA
FALSE
TRUE
NA
FALSE
NA
2017
NA
NA
2012
NA
NA
FALSE
FALSE
FALSE
NA
NA
FALSE
2013
NA
NA
NA
FALSE
2015
NA
NA
NA
FALSE
2018
2016
NA
2015
FALSE
NA
NA
NA
2017
NA
FALSE
NA
NA
FALSE
NA
NA
NA
NA
NA
NA
NA
FALSE
TRUE
2017
NA
NA
2013
2017
2017
NA
NA
NA
NA
FALSE
NA
FALSE
FALSE
FALSE
NA
NA
NA
NA
NA
NA
TRUE
NA
NA
FALSE
2014
TRUE
NA
NA
NA
NA
2016
NA
NA
NA
FALSE
2014
FALSE
NA
NA
FALSE
TRUE
NA
NA
NA
2013
2014
FALSE
FALSE
2013
FALSE
NA
NA
2016
NA
NA
NA
NA
NA
2016
NA
NA
TRUE
2016
NA
TRUE
2018
NA
FALSE
NA
2016
NA
NA
NA
NA
TRUE
NA
FALSE
2018
NA
NA
FALSE
FALSE
NA
NA
2014
NA
NA
NA
NA
2015
NA
NA
NA
NA
2010
NA
NA
TRUE
TRUE
TRUE
NA
FALSE
2016
FALSE
2017
2018
NA
FALSE
FALSE
2015
FALSE
NA
NA
TRUE
NA
2015
2018
2017
FALSE
NA
NA
FALSE
2017
TRUE
FALSE
NA
2016
NA
FALSE
2017
NA
2013
NA
2017
FALSE
NA
TRUE
NA
NA
NA
NA
2017
NA
NA
NA
NA
FALSE
NA
FALSE
NA
NA
2016
2016
TRUE
NA
NA
FALSE
NA
NA
2015
NA
NA
NA
NA
NA
NA
FALSE
NA
TRUE
TRUE
NA
2014
TRUE
NA
FALSE
TRUE
2016
FALSE
2018
NA
NA
NA
2017
NA
2015
2016
NA
NA
NA
NA
FALSE
FALSE
NA
2015
NA
2017
NA
NA
2017
FALSE
NA
FALSE
NA
NA
2016
2014
NA
NA
NA
NA
NA
NA
2018
NA
FALSE
FALSE
2016
FALSE
TRUE
NA
FALSE
FALSE
NA
NA
2012
NA
TRUE
NA
NA
NA
2015
FALSE
NA
NA
NA
FALSE
FALSE
FALSE
NA
NA
FALSE
NA
NA
FALSE
2016
NA
NA
NA
FALSE
NA
FALSE
NA
2015
NA
FALSE
NA
FALSE
FALSE
NA
2017
2017
FALSE
NA
TRUE
NA
FALSE
2017
TRUE
NA
NA
NA
NA
NA
NA
NA
2017
FALSE
NA
2017
NA
NA
NA
NA
2013
TRUE
NA
NA
NA
NA
NA
NA
FALSE
NA
NA
FALSE
NA
FALSE
FALSE
NA
2017
2016
NA
TRUE
NA
NA
NA
NA
NA
NA
NA
NA
FALSE
TRUE
FALSE
NA
NA
NA
NA
NA
2018
NA
2015
NA
2018
2017
TRUE
NA
FALSE
NA
FALSE
NA
2016
NA
NA
2017
NA
FALSE
NA
NA
NA
NA
NA
FALSE
NA
NA
FALSE
NA
NA
NA
NA
2014
2015
NA
NA
NA
FALSE
NA
NA
2018
NA
2016
2016
FALSE
2015
NA
TRUE
NA
NA
2012
NA
2017
NA
TRUE
FALSE
TRUE
NA
FALSE
NA
NA
FALSE
NA
2017
FALSE
TRUE
NA
FALSE
NA
NA
NA
NA
FALSE
NA
TRUE
FALSE
FALSE
2016
2015
2011
FALSE
NA
NA
NA
FALSE
NA
FALSE
2015
2015
FALSE
NA
NA
NA
NA
2017
NA
FALSE
NA
2017
NA
