pt_scale
NA
6
NA
NA
5
5
3
3
19
NA
2
2
NA
20
"I do not think this is a priority
4
6
NA
6
NA
9
3
NA
NA
NA
NA
NA
14
1
NA
3
3
NA
NA
2
FALSE
3
NA
NA
NA
12
NA
NA
2
NA
5
1
12
NA
NA
3
6
NA
NA
3
NA
5
NA
NA
5
12
NA
NA
NA
NA
4
NA
14
7
NA
7
NA
FALSE
NA
5
NA
NA
6
7
NA
NA
NA
NA
10
13
2
"I do not think this is a priority
3
1
3
NA
NA
28
NA
NA
NA
NA
NA
NA
NA
NA
1
NA
NA
9
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
5
33
NA
6
9
10
20
NA
NA
18
NA
NA
NA
NA
NA
6
NA
4
6
NA
5
NA
8
6
2
0
19
NA
8
NA
NA
6
NA
3
5
4
NA
11
NA
8
NA
14
6
5
3
11
NA
6
20
NA
NA
41
1
NA
NA
6
1
20
2
10
NA
6
NA
NA
NA
NA
NA
NA
5
14
FALSE
NA
NA
5
Left
4
FALSE
NA
NA
20
16
5
NA
108
3
8
7
NA
4
NA
NA
7
5
NA
NA
7
NA
NA
12
NA
12
6
6
NA
NA
4
12
8
NA
NA
0
NA
NA
NA
3
10
NA
NA
NA
3
NA
3
5
NA
NA
1
NA
NA
1
NA
5
NA
NA
NA
4
NA
NA
5
12
NA
NA
NA
2
NA
NA
9
NA
NA
37
5
0
5
NA
13
7
7
NA
12
4
NA
NA
NA
2
NA
6
1
10
11
3
NA
NA
NA
NA
9
NA
6
4
NA
7
NA
NA
13
NA
NA
NA
12
2
NA
5
NA
NA
4
108
10
NA
NA
19
NA
NA
6
11
NA
NA
38
16
NA
NA
NA
5
NA
7
3
11
6
2
108
NA
NA
17
NA
20
4
NA
NA
4
NA
NA
NA
39
NA
NA
NA
NA
NA
NA
7
4
NA
18
NA
7
3
8
6
6
NA
NA
17
NA
3
NA
NA
NA
NA
11
NA
9
NA
9
6
NA
3
1
6
4
NA
NA
35
3
NA
NA
7
NA
NA
13
NA
NA
NA
3
2
NA
8
NA
NA
NA
6
7
NA
4
NA
17
13
NA
2
NA
2
5
7
NA
NA
NA
5
58
2
4
6
10
NA
6
4
4
40
NA
NA
5
10
NA
12
NA
16
NA
NA
6
NA
NA
NA
NA
NA
12
3
NA
NA
NA
7
4
NA
7
NA
NA
NA
9
3
NA
7
5
NA
NA
NA
108
14
12
NA
6
6
10
14
NA
NA
19
NA
NA
NA
NA
12
NA
NA
NA
14
32
NA
5
NA
NA
19
12
NA
5
1
NA
13
NA
NA
3
NA
6
11
NA
NA
7
3
NA
NA
NA
NA
NA
5
NA
NA
NA
7
0
1
NA
NA
NA
6
7
29
NA
NA
NA
9
NA
NA
6
NA
2
6
12
NA
NA
NA
NA
NA
14
NA
108
NA
NA
NA
17
NA
3
7
NA
NA
10
NA
4
19
NA
9
NA
NA
9
NA
NA
NA
NA
11
3
3
2
NA
NA
12
NA
7
NA
NA
NA
14
7
NA
NA
NA
NA
NA
14
NA
NA
6
NA
10
NA
NA
11
NA
NA
13
NA
12
5
1
3
11
NA
10
NA
NA
6
NA
2
FALSE
NA
NA
2
5
3
NA
NA
12
NA
NA
NA
6
NA
NA
4
6
NA
NA
13
NA
62
NA
2
13
NA
NA
5
NA
NA
3
NA
NA
NA
NA
5
2
3
NA
8
5
NA
NA
10
14
12
10
12
35
NA
5
NA
12
NA
NA
NA
NA
NA
NA
NA
2
5
7
6
NA
NA
NA
11
7
6
NA
11
9
NA
10
NA
NA
14
23
6
NA
NA
NA
NA
3
NA
NA
NA
NA
NA
NA
11
8
5
13
5
11
NA
5
5
NA
3
NA
6
NA
11
NA
4
3
5
NA
8
NA
NA
6
18
NA
7
NA
14
NA
8
9
0
18
14
5
5
NA
NA
NA
NA
NA
NA
8
NA
NA
NA
NA
NA
8
16
6
NA
NA
10
NA
FALSE
NA
4
3
NA
0
NA
2
NA
2
4
NA
NA
10
NA
4
6
3
9
8
2
7
17
NA
3
NA
6
NA
NA
10
6
18
NA
3
12
4
NA
3
4
7
4
6
NA
3
NA
2
NA
NA
NA
NA
3
NA
NA
NA
NA
NA
4
NA
3
7
17
NA
5
NA
NA
0
NA
NA
2
13
5
NA
4
NA
NA
2
9
7
NA
2
5
4
NA
3
NA
6
NA
NA
NA
15
NA
NA
6
1
35
15
NA
NA
NA
13
NA
9
NA
4
NA
NA
56
5
NA
NA
18
8
NA
5
2
6
6
2
2
NA
9
NA
NA
NA
5
2
7
10
NA
NA
3
NA
NA
4
 but should receive some resources"
NA
NA
10
NA
NA
NA
20
NA
5
NA
6
19
NA
3
NA
7
4
NA
6
NA
NA
2
NA
NA
NA
NA
5
8
NA
NA
NA
38
43
5
14
2
NA
16
1
NA
NA
1
5
NA
NA
NA
NA
NA
9
2
4
NA
NA
NA
5
NA
NA
NA
FALSE
10
11
NA
6
13
5
17
7
NA
NA
3
NA
9
NA
NA
58
NA
NA
4
NA
1
NA
3
5
2
NA
6
58
12
6
4
1
NA
NA
9
NA
NA
14
NA
3
NA
1
NA
2
NA
NA
8
NA
NA
5
4
NA
13
NA
NA
36
NA
4
2
10
3
6
3
4
NA
6
NA
9
NA
NA
NA
NA
4
6
5
NA
2
6
NA
2
6
NA
9
7
NA
NA
9
NA
4
NA
14
6
2
NA
NA
19
NA
NA
NA
NA
NA
NA
12
11
NA
NA
6
NA
5
1
11
NA
5
5
NA
NA
NA
14
NA
5
18
3
TRUE
NA
2
NA
6
NA
3
19
108
NA
3
NA
NA
NA
5
5
9
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
10
20
NA
41
NA
NA
6
NA
NA
6
NA
NA
9
NA
13
19
NA
NA
NA
20
11
8
NA
NA
NA
0
10
7
NA
NA
NA
NA
NA
7
NA
NA
NA
12
NA
NA
NA
18
NA
7
NA
2
NA
7
5
2
12
13
12
NA
NA
NA
NA
NA
58
NA
6
12
5
3
NA
NA
NA
NA
3
5
1
NA
NA
3
NA
NA
4
NA
NA
7
NA
15
2
2
2
3
NA
NA
12
NA
NA
NA
NA
10
NA
NA
NA
NA
11
4
NA
NA
8
5
NA
NA
5
NA
8
NA
