big_five_extraverted_scale
NA
11
NA
NA
6
11
4
8
5
NA
6
4
NA
9
5
11
12
NA
10
NA
3
3
NA
NA
NA
NA
NA
14
6
NA
6
8
NA
NA
2
NA
8
NA
NA
NA
3
NA
NA
7
NA
11
13
14
NA
NA
6
3
NA
NA
12
NA
9
NA
NA
3
8
NA
NA
NA
NA
6
NA
12
7
NA
7
NA
NA
NA
10
NA
NA
5
7
NA
NA
NA
NA
4
12
5
8
8
10
11
NA
NA
6
NA
NA
NA
NA
NA
NA
NA
NA
6
NA
NA
9
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
4
6
NA
12
6
4
6
NA
NA
6
NA
NA
NA
NA
NA
8
NA
9
6
NA
4
NA
10
7
14
10
8
NA
13
NA
NA
8
NA
11
12
7
NA
3
NA
4
NA
14
13
5
8
12
NA
6
11
NA
NA
5
7
NA
NA
2
4
14
5
7
NA
2
NA
NA
NA
NA
NA
NA
13
5
12
NA
NA
9
12
9
NA
NA
NA
6
5
8
NA
11
11
8
12
NA
NA
NA
NA
5
5
NA
NA
3
NA
NA
12
NA
11
14
7
NA
NA
11
13
8
NA
NA
6
NA
NA
NA
13
12
NA
NA
NA
12
NA
9
13
NA
NA
9
NA
NA
6
NA
13
NA
NA
NA
5
NA
NA
12
8
NA
NA
NA
4
NA
NA
14
NA
NA
7
10
NA
5
NA
7
14
14
NA
4
9
NA
NA
NA
4
NA
14
14
6
2
4
NA
NA
NA
NA
4
NA
9
4
NA
13
NA
NA
6
NA
NA
NA
7
6
NA
7
NA
NA
9
8
13
NA
NA
5
NA
NA
6
11
NA
NA
9
11
NA
NA
NA
3
NA
12
6
6
12
2
13
NA
NA
8
NA
9
14
NA
NA
4
NA
NA
NA
10
NA
NA
NA
NA
NA
NA
7
7
NA
12
NA
8
9
9
4
9
NA
NA
10
12
11
NA
NA
NA
NA
3
NA
13
NA
9
11
NA
6
13
12
2
NA
NA
11
12
NA
NA
8
NA
NA
10
NA
NA
8
7
11
NA
10
NA
NA
NA
2
7
NA
9
NA
5
9
NA
7
NA
6
5
13
NA
NA
NA
5
11
6
4
6
11
NA
10
12
3
6
NA
NA
11
9
NA
8
NA
8
NA
NA
8
NA
NA
NA
NA
NA
9
3
NA
NA
NA
10
6
NA
12
NA
NA
NA
13
7
NA
6
7
NA
NA
7
9
12
13
NA
4
6
3
14
NA
NA
NA
NA
NA
NA
NA
6
NA
NA
NA
14
8
NA
4
NA
NA
2
5
NA
7
5
NA
3
NA
NA
4
NA
11
7
NA
NA
10
9
NA
NA
NA
NA
NA
6
NA
NA
NA
7
5
5
NA
NA
NA
6
12
5
NA
NA
NA
5
NA
NA
9
NA
2
5
12
NA
NA
NA
NA
NA
12
NA
12
NA
NA
NA
4
NA
9
4
NA
NA
8
NA
4
8
NA
4
NA
NA
10
NA
NA
NA
NA
4
4
6
7
NA
NA
13
NA
4
NA
NA
NA
10
4
NA
NA
NA
NA
NA
11
NA
NA
11
NA
7
NA
NA
11
NA
NA
5
NA
8
3
3
3
13
NA
12
NA
NA
7
NA
5
NA
NA
NA
7
11
6
NA
NA
9
NA
NA
5
9
NA
NA
11
12
NA
NA
10
NA
8
NA
14
13
NA
NA
5
NA
NA
6
NA
NA
NA
NA
13
8
3
NA
8
4
NA
NA
4
8
12
11
5
7
NA
3
NA
3
NA
NA
NA
NA
NA
NA
NA
7
7
3
12
NA
NA
NA
3
6
11
NA
5
10
NA
7
NA
NA
7
14
6
NA
NA
NA
NA
8
NA
NA
NA
NA
NA
NA
13
6
5
7
2
4
NA
5
2
NA
3
NA
6
NA
6
NA
6
4
4
NA
9
NA
NA
11
9
NA
14
NA
11
NA
8
3
9
9
8
5
5
NA
NA
NA
NA
NA
NA
11
NA
NA
NA
NA
NA
14
9
6
NA
NA
7
NA
7
NA
4
8
NA
9
NA
8
NA
4
4
NA
NA
5
NA
2
5
12
3
14
6
6
8
NA
7
NA
7
NA
NA
12
8
5
NA
7
14
5
NA
8
3
12
10
6
NA
4
NA
5
NA
NA
NA
NA
7
NA
NA
NA
NA
NA
10
NA
8
13
2
NA
10
NA
NA
NA
NA
NA
7
2
4
NA
5
NA
NA
12
3
7
NA
5
5
8
NA
3
NA
5
NA
NA
NA
12
NA
NA
5
3
6
8
NA
NA
NA
8
NA
7
NA
7
NA
NA
5
9
NA
NA
3
8
NA
7
6
4
6
5
5
NA
9
NA
NA
NA
11
12
3
3
NA
NA
9
NA
NA
9
8
NA
NA
5
NA
NA
NA
5
NA
8
NA
2
4
NA
5
NA
11
6
NA
7
NA
NA
2
NA
NA
NA
NA
8
10
NA
NA
NA
12
3
5
7
3
NA
3
4
NA
NA
9
2
NA
NA
NA
NA
NA
3
7
4
NA
NA
NA
8
NA
NA
NA
10
10
14
NA
6
6
12
3
14
NA
NA
3
NA
9
NA
NA
12
NA
NA
8
NA
4
NA
12
8
9
NA
3
7
12
3
4
12
NA
NA
10
NA
NA
7
NA
12
NA
6
NA
9
NA
NA
2
NA
NA
12
3
NA
5
NA
NA
9
NA
5
12
10
13
9
4
8
NA
3
NA
4
NA
NA
NA
NA
4
6
7
NA
12
5
NA
7
13
NA
9
13
NA
NA
4
NA
4
NA
14
7
2
NA
NA
12
NA
NA
NA
NA
NA
NA
5
6
NA
NA
2
NA
5
3
13
NA
8
5
NA
NA
NA
8
NA
10
6
5
NA
NA
14
NA
12
NA
7
8
8
NA
7
NA
NA
NA
4
8
13
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
4
4
NA
8
NA
NA
8
NA
NA
9
NA
NA
10
NA
4
10
NA
NA
NA
5
5
6
NA
NA
NA
NA
10
4
NA
NA
NA
NA
NA
7
NA
NA
NA
11
NA
NA
NA
4
NA
13
NA
9
NA
13
4
7
10
12
8
NA
NA
NA
NA
NA
NA
NA
14
2
8
8
NA
NA
NA
NA
12
9
4
NA
NA
3
NA
NA
9
NA
NA
2
NA
7
3
4
11
11
NA
NA
12
NA
NA
NA
NA
7
NA
NA
NA
NA
3
10
NA
NA
4
13
NA
NA
9
NA
11
NA
11
NA
NA
9
5
5
12
NA
NA
NA
10
13
9
2
NA
NA
4
8
2
NA
10
3
5
NA
3
2
NA
NA
NA
NA
NA
6
13
4
5
6
NA
NA
NA
NA
NA
11
5
NA
13
NA
4
5
5
2
4
13
NA
6
NA
13
NA
NA
9
6
NA
NA
7
NA
11
8
NA
NA
10
NA
5
NA
2
NA
NA
13
NA
NA
12
10
