big_five_agreeable_scale
NA
13
NA
NA
6
7
9
12
7
NA
8
9
NA
14
7
6
9
NA
8
NA
12
14
NA
NA
NA
NA
NA
8
8
NA
11
12
NA
NA
11
NA
7
NA
NA
NA
5
NA
NA
9
NA
4
12
12
NA
NA
7
9
NA
NA
7
NA
6
NA
NA
8
12
NA
NA
NA
NA
8
NA
5
7
NA
9
NA
NA
NA
13
NA
NA
8
13
NA
NA
NA
NA
12
10
12
5
12
5
5
NA
NA
8
NA
NA
NA
NA
NA
NA
NA
NA
7
NA
NA
9
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
9
11
NA
8
9
12
11
NA
NA
10
NA
NA
NA
NA
NA
11
NA
4
9
NA
5
NA
11
10
8
13
6
NA
8
NA
NA
11
NA
9
12
9
NA
6
NA
8
NA
11
8
8
7
12
NA
8
7
NA
NA
14
11
NA
NA
7
5
6
12
9
NA
11
NA
NA
NA
NA
NA
NA
5
12
8
NA
NA
10
7
10
NA
NA
NA
13
7
9
NA
13
4
8
13
NA
14
NA
NA
11
5
NA
NA
14
NA
NA
10
NA
12
9
10
NA
NA
7
8
10
NA
NA
7
NA
NA
NA
3
8
NA
NA
NA
13
NA
9
11
NA
NA
5
NA
NA
13
NA
9
NA
NA
NA
14
NA
NA
6
12
NA
NA
NA
4
NA
NA
9
NA
NA
7
11
NA
10
NA
13
11
4
NA
12
9
NA
NA
NA
10
NA
4
4
12
11
7
NA
NA
NA
NA
3
NA
8
10
NA
7
NA
NA
9
NA
NA
NA
8
6
NA
5
NA
NA
8
6
10
NA
NA
13
NA
NA
6
7
NA
NA
7
9
NA
NA
NA
14
NA
11
8
11
13
10
12
NA
NA
8
NA
9
13
NA
NA
7
NA
NA
NA
5
NA
NA
NA
NA
NA
NA
9
6
NA
13
NA
8
6
6
13
10
NA
NA
11
13
8
NA
NA
NA
NA
8
NA
9
NA
5
11
NA
8
7
8
8
NA
NA
8
11
NA
NA
8
NA
NA
8
NA
NA
NA
12
7
NA
13
NA
NA
NA
8
7
NA
6
NA
9
13
NA
8
NA
5
7
10
NA
NA
NA
11
5
6
9
11
8
NA
10
8
11
5
NA
NA
12
11
NA
12
NA
12
NA
NA
5
NA
NA
NA
NA
NA
3
7
NA
NA
NA
12
12
NA
11
NA
NA
NA
9
10
NA
11
10
NA
NA
NA
11
12
12
NA
6
13
11
11
NA
NA
11
NA
NA
NA
NA
12
NA
NA
NA
10
9
NA
6
NA
NA
9
12
NA
7
10
NA
10
NA
NA
12
NA
8
9
NA
NA
13
10
NA
NA
NA
NA
NA
12
NA
NA
NA
9
8
12
NA
NA
NA
11
10
12
NA
NA
NA
11
NA
NA
13
NA
14
11
7
NA
NA
NA
NA
NA
8
NA
12
NA
NA
NA
8
NA
14
8
NA
NA
10
NA
12
8
NA
9
NA
NA
9
NA
NA
NA
NA
11
5
8
8
NA
NA
7
NA
7
NA
NA
NA
11
14
NA
NA
NA
NA
NA
12
NA
NA
12
NA
10
NA
NA
10
NA
NA
13
NA
12
12
8
12
13
NA
8
NA
NA
12
NA
11
NA
NA
NA
8
10
9
NA
NA
6
NA
NA
6
7
NA
NA
8
9
NA
NA
13
NA
14
NA
11
10
NA
NA
12
NA
NA
8
NA
NA
NA
NA
12
9
7
NA
14
11
NA
NA
14
4
12
10
8
9
NA
8
NA
12
NA
NA
NA
NA
NA
NA
NA
8
9
12
11
NA
NA
NA
8
10
10
NA
9
11
NA
10
NA
NA
7
6
12
NA
NA
NA
NA
14
NA
NA
NA
NA
NA
NA
10
14
14
12
11
11
NA
13
11
NA
13
NA
11
NA
13
NA
7
8
9
NA
8
NA
NA
7
8
NA
12
NA
9
NA
8
8
9
9
10
10
9
NA
NA
NA
NA
NA
NA
13
NA
NA
NA
NA
NA
12
10
8
NA
NA
11
NA
11
NA
5
NA
NA
5
NA
8
NA
6
8
NA
NA
10
NA
11
13
14
9
8
10
6
7
NA
13
NA
13
NA
NA
10
9
11
NA
6
11
11
NA
11
8
7
13
9
NA
6
NA
9
NA
NA
NA
NA
6
NA
NA
NA
NA
NA
9
NA
10
11
14
NA
9
NA
NA
NA
NA
NA
10
12
5
NA
4
NA
NA
14
7
8
NA
13
10
10
NA
11
NA
11
NA
NA
NA
9
NA
NA
11
12
6
13
NA
NA
NA
13
NA
10
NA
9
NA
NA
5
11
NA
NA
8
6
NA
12
10
8
NA
6
5
NA
11
NA
NA
NA
9
12
8
8
NA
NA
7
NA
NA
6
10
NA
NA
13
NA
NA
NA
13
NA
14
NA
NA
9
NA
7
NA
8
9
NA
8
NA
NA
6
NA
NA
NA
NA
7
8
NA
NA
NA
8
7
7
9
8
NA
6
8
NA
NA
14
10
NA
NA
NA
NA
NA
8
9
10
NA
NA
NA
11
NA
NA
NA
7
12
8
NA
7
9
11
11
10
NA
NA
9
NA
6
NA
NA
13
NA
NA
13
NA
6
NA
10
11
9
NA
12
9
13
4
7
12
NA
NA
6
NA
NA
13
NA
8
NA
9
NA
9
NA
NA
8
NA
NA
9
11
NA
11
NA
NA
12
NA
4
7
10
10
8
6
12
NA
12
NA
6
NA
NA
NA
NA
7
10
5
NA
10
8
NA
8
14
NA
9
7
NA
NA
9
NA
10
NA
8
9
8
NA
NA
12
NA
NA
NA
NA
NA
NA
12
11
NA
NA
4
NA
8
13
10
NA
11
8
NA
NA
NA
11
NA
8
12
10
NA
NA
9
NA
6
NA
10
8
8
NA
12
NA
NA
NA
9
12
9
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
7
6
NA
12
NA
NA
10
NA
NA
13
NA
NA
9
NA
8
10
NA
NA
NA
14
11
8
NA
NA
NA
NA
10
14
NA
NA
NA
NA
NA
11
NA
NA
NA
12
NA
NA
NA
10
NA
12
NA
4
NA
10
10
8
NA
9
8
NA
NA
NA
NA
NA
NA
NA
7
8
7
5
NA
NA
NA
NA
9
5
9
NA
NA
10
NA
NA
11
NA
NA
14
NA
8
4
7
10
9
NA
NA
9
NA
NA
NA
NA
10
NA
NA
NA
NA
11
8
NA
NA
NA
10
NA
NA
9
NA
7
NA
10
NA
NA
9
12
7
8
NA
NA
NA
11
11
12
12
NA
NA
8
5
13
NA
10
11
11
NA
9
7
NA
NA
NA
NA
NA
8
7
10
13
13
NA
NA
NA
NA
NA
7
9
NA
11
NA
7
11
7
8
10
13
NA
12
NA
13
NA
NA
8
12
NA
NA
7
NA
10
8
NA
NA
4
NA
10
NA
7
NA
NA
11
NA
NA
9
13
NA
NA
NA
11
NA
NA
NA
NA
NA
9
NA
13
NA
NA
NA
NA
8
9
NA
NA
7
NA
NA
NA
8
NA
9
9
NA
9
NA
8
10
7
NA
11
NA
NA
11
NA
9
NA
13
9
NA
11
9
12
NA
11
14
8
NA
NA
NA
NA
NA
7
NA
8
NA
NA
NA
10
11
NA
