left
NA
Left
Center left
Left
Left
Non-Left
Left
NA
Left
Center left
Left
NA
Center left
Non-Left
Non-Left
Non-Left
Non-Left
Non-Left
Non-Left
Center left
Center left
Center left
Left
Center left
Non-Left
Center left
Center left
Center left
Left
Center left
NA
Non-Left
Left
Non-Left
Left
Left
Non-Left
NA
Center left
Center left
Center left
Left
NA
Left
Non-Left
Non-Left
NA
Center left
NA
Center left
Non-Left
Non-Left
Center left
Non-Left
Center left
Center left
Non-Left
Left
Center left
NA
Left
Left
Center left
Left
Center left
Center left
Center left
Left
Center left
Center left
Left
Left
Center left
Left
Center left
Center left
Left
Non-Left
Center left
Left
Center left
NA
Center left
Left
Left
Left
Non-Left
Non-Left
Center left
Non-Left
Center left
Non-Left
Center left
Center right
NA
Left
Center left
Left
Left
Left
Left
Left
Left
NA
Center left
Prefer not to answer
Center right
NA
NA
Center left
Center left
NA
Center left
Left
NA
Left
Left
Non-Left
Left
Left
Non-Left
Left
NA
NA
Center left
Center left
Center left
Left
NA
NA
Left
Left
Left
Left
Non-Left
Center left
Left
Prefer not to answer
Center left
Center left
Prefer not to answer
Center left
Center left
Left
Center left
Left
Non-Left
NA
Center left
Center left
Center left
NA
Left
NA
Left
Left
Center left
Left
Non-Left
Left
Prefer not to answer
Left
Left
Left
Prefer not to answer
Center left
Left
Center left
Center left
Center left
Left
Non-Left
Left
NA
Left
NA
Non-Left
Non-Left
Non-Left
NA
Non-Left
NA
Prefer not to answer
Center left
Center left
Non-Left
Center left
Non-Left
Center left
Left
Center left
Center left
Left
Prefer not to answer
Center left
Center left
NA
NA
Left
Center left
NA
Center left
Prefer not to answer
Center left
Non-Left
Center left
Left
Center right
Center left
NA
Left
Left
NA
Center left
Center left
Center left
Non-Left
Prefer not to answer
Center left
Non-Left
Left
Left
Non-Left
Prefer not to answer
Left
Left
NA
NA
NA
Center left
Non-Left
NA
Center left
NA
Left
NA
Non-Left
Left
Left
Left
Prefer not to answer
Center left
NA
Left
Non-Left
NA
Center left
Center left
NA
NA
NA
NA
Left
Left
Left
NA
Left
Non-Left
NA
Center left
Left
Non-Left
NA
Left
Center left
Prefer not to answer
Center left
Center left
Center left
Non-Left
Left
Prefer not to answer
Non-Left
Left
Prefer not to answer
Non-Left
Left
Non-Left
Left
Center left
Left
Center left
Non-Left
Center left
Left
Left
NA
Left
Center left
Left
Center left
Center left
Left
Left
NA
Prefer not to answer
Left
Center left
Prefer not to answer
Prefer not to answer
Left
Center left
NA
Left
Prefer not to answer
Center right
Center left
Center left
Left
Center left
Left
Non-Left
Left
Center left
Non-Left
Center right
NA
Left
Non-Left
Non-Left
NA
Center left
NA
Left
Center left
Left
Left
Center left
Non-Left
Non-Left
Left
Left
Left
Left
Left
Non-Left
Left
Center left
Center left
Center left
Center left
Center left
NA
Center left
Left
Left
Center left
Left
NA
Prefer not to answer
Center left
Non-Left
Center left
Left
Left
Left
Non-Left
Center left
Center left
Center left
NA
NA
Center left
Left
Center right
Left
Center left
NA
Center left
Center left
Center left
Left
Center right
Left
Center left
Left
Non-Left
Left
Non-Left
Center left
Center left
Center left
Left
NA
NA
Center left
NA
NA
Center right
Prefer not to answer
Non-Left
Prefer not to answer
Non-Left
Center left
Non-Left
Center right
Left
Left
NA
NA
NA
Center left
Center left
Non-Left
NA
Left
Non-Left
Left
Left
NA
Non-Left
Center left
Center left
Left
NA
Non-Left
Center left
Center left
NA
Non-Left
Prefer not to answer
Center left
Center right
Left
Non-Left
Left
Left
NA
NA
NA
Left
Center left
Center left
Non-Left
Left
NA
Center left
Center left
Left
Prefer not to answer
Non-Left
Non-Left
NA
Left
Left
Non-Left
Center left
NA
Prefer not to answer
Non-Left
NA
Left
Left
Left
Center left
Non-Left
NA
Left
Center left
Center left
Center left
NA
Prefer not to answer
Center left
Left
Center left
Center left
Center left
Center left
Center left
Left
Center left
Non-Left
Center left
Center left
NA
NA
Non-Left
Center left
Center left
NA
Center right
Prefer not to answer
Center left
Left
Non-Left
Center left
Center left
Center left
Center left
Non-Left
Non-Left
Left
Center left
Left
NA
Left
Center left
Center left
Non-Left
Left
Left
Left
Left
Center left
Prefer not to answer
Non-Left
Center left
Center left
NA
NA
NA
NA
Center left
NA
Left
Left
Left
NA
NA
Left
Left
Center left
Left
Center left
Left
Left
NA
NA
Left
Left
Left
Center left
Non-Left
Left
Center left
Non-Left
Left
Left
Left
NA
Non-Left
Prefer not to answer
Center left
Center right
Center left
Non-Left
Left
Center left
NA
NA
Left
Left
Non-Left
Center left
Left
NA
Left
NA
Left
Center left
Center left
Left
NA
Center right
Left
Center left
Non-Left
NA
Non-Left
Center left
NA
NA
Non-Left
Center left
Left
Left
Left
NA
NA
Non-Left
Left
NA
Non-Left
NA
Left
Left
NA
Left
Center left
Left
Left
NA
Non-Left
Prefer not to answer
Non-Left
NA
NA
NA
Left
Center left
NA
Left
NA
NA
Left
Non-Left
Left
Center left
NA
Prefer not to answer
Center right
NA
Center left
Non-Left
Center left
Left
NA
Left
Left
Non-Left
Center left
Non-Left
Non-Left
Left
Center left
Left
Non-Left
Center left
Non-Left
NA
Non-Left
Center left
Left
Non-Left
Center left
Prefer not to answer
NA
Left
Left
Non-Left
Left
Center left
Left
Center left
Center left
NA
Left
Center left
NA
Left
Left
Center left
Center left
Left
Center left
Center left
Center left
Left
Center left
Left
Center left
Left
Center left
Left
NA
NA
Prefer not to answer
Center right
Left
Center right
NA
Left
Center left
NA
Left
Non-Left
Center left
Left
Left
Left
NA
Non-Left
Left
Center right
Non-Left
Left
Center left
Center left
Center left
Left
Left
Non-Left
Left
Center left
Left
NA
Center left
Left
Center left
Left
Left
NA
Left
NA
NA
Left
Center left
Center left
Non-Left
Left
Center left
Center left
Prefer not to answer
NA
Left
Center left
Left
Center left
Center left
NA
Center left
Left
Center left
Center left
Center left
Center left
Left
Left
Center left
Left
Center left
Left
Left
Non-Left
Left
Center left
Center left
Center left
Non-Left
Non-Left
Center left
Center left
Center left
Center right
NA
NA
NA
Left
Center left
Center left
Non-Left
Center left
Left
NA
Non-Left
Center left
NA
Non-Left
NA
NA
Center left
NA
NA
Center left
Non-Left
Non-Left
NA
Center left
Left
Center left
Left
Left
Center left
Left
Non-Left
Non-Left
Left
Center left
Center left
NA
Center right
NA
Left
Center left
NA
Center left
Left
NA
Left
Left
Center left
Center left
Center left
Left
Non-Left
Non-Left
Left
Prefer not to answer
Non-Left
Non-Left
Center left
Center left
Left
NA
NA
Center left
Left
Left
Center left
Left
Center left
NA
Center left
Non-Left
NA
NA
Left
Left
Center left
Center left
Prefer not to answer
Non-Left
Center left
Prefer not to answer
Prefer not to answer
Center left
Center left
NA
Center left
Left
Center left
Left
NA
Center left
Center left
Center left
NA
Center left
Center left
Left
Prefer not to answer
NA
Center left
Non-Left
NA
Left
Left
Left
NA
Left
NA
Left
Center left
NA
Left
Center left
Non-Left
Center left
NA
Center left
Center left
Left
Center left
NA
Center left
Center left
NA
Non-Left
Center left
Center right
Left
Non-Left
Non-Left
Center left
Left
Prefer not to answer
Non-Left
Center left
Left
Center left
Left
Center left
Left
Center left
Left
Left
Non-Left
NA
Left
Left
Left
Left
NA
