nfc_2_r
NA
5
NA
NA
5
4
5
3
4
NA
4
4
NA
5
2
NA
4
NA
4
NA
5
5
NA
NA
NA
NA
NA
5
5
NA
5
4
NA
NA
4
NA
5
NA
NA
NA
5
NA
NA
2
NA
5
5
4
NA
NA
5
5
NA
NA
4
NA
5
NA
NA
5
5
NA
NA
NA
NA
4
NA
5
4
NA
4
NA
NA
NA
5
NA
NA
5
4
NA
NA
NA
NA
4
4
4
5
5
4
4
NA
NA
4
NA
NA
NA
NA
NA
NA
NA
NA
4
5
NA
5
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
5
5
NA
5
5
5
5
NA
NA
4
NA
NA
NA
NA
NA
5
NA
5
5
NA
5
NA
5
5
4
5
5
NA
5
NA
NA
3
NA
5
5
5
NA
5
NA
3
NA
4
4
5
4
5
NA
4
5
NA
NA
5
5
NA
NA
5
5
5
5
4
NA
4
NA
NA
NA
NA
NA
NA
5
4
5
NA
NA
5
1
4
NA
NA
NA
5
4
5
NA
5
5
5
5
NA
5
NA
NA
5
4
NA
NA
5
NA
NA
5
NA
4
5
5
NA
NA
5
5
5
NA
NA
5
NA
NA
NA
5
5
NA
NA
NA
5
NA
5
5
NA
NA
4
NA
NA
5
NA
5
NA
2
NA
5
NA
NA
4
5
NA
NA
NA
4
NA
NA
5
NA
NA
4
5
NA
5
NA
5
5
1
NA
4
4
NA
NA
NA
5
NA
4
5
5
5
5
NA
NA
NA
NA
5
NA
5
4
NA
4
NA
NA
5
NA
NA
NA
5
4
NA
4
NA
NA
5
5
5
NA
NA
5
NA
NA
5
5
NA
NA
5
4
NA
NA
NA
5
NA
5
5
4
4
5
5
NA
NA
4
NA
5
5
NA
NA
4
NA
NA
NA
5
NA
NA
NA
NA
NA
NA
5
4
NA
5
NA
5
2
4
4
5
NA
NA
1
5
5
NA
NA
NA
NA
5
NA
5
NA
3
4
NA
5
5
5
5
NA
NA
3
4
NA
NA
5
NA
NA
4
NA
NA
2
2
5
NA
4
NA
NA
NA
5
5
NA
5
NA
4
4
NA
4
NA
5
2
4
NA
NA
NA
5
4
5
5
5
2
NA
4
5
4
4
NA
NA
5
5
NA
5
NA
5
NA
NA
5
NA
NA
NA
5
NA
5
5
NA
NA
NA
3
3
NA
1
NA
NA
NA
5
5
NA
5
4
NA
NA
5
5
5
5
NA
4
5
5
5
NA
NA
4
NA
NA
NA
NA
5
NA
NA
NA
4
5
NA
5
NA
NA
5
5
NA
5
4
NA
4
NA
NA
4
NA
4
5
NA
NA
4
5
NA
NA
NA
NA
NA
4
NA
NA
NA
5
5
3
NA
NA
NA
4
2
5
