studied_math
NA
Doctoral degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
TRUE
FALSE
TRUE
FALSE
FALSE
Libertarian
TRUE
FALSE
TRUE
TRUE
TRUE
TRUE
"Some college
Master's degree
Bachelor's degree
FALSE
FALSE
FALSE
FALSE
TRUE
FALSE
FALSE
FALSE
Master's degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Bachelor's degree
TRUE
FALSE
FALSE
FALSE
FALSE
TRUE
"Some college
FALSE
TRUE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Bachelor's degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
TRUE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Doctoral degree
TRUE
FALSE
FALSE
FALSE
FALSE
Doctoral degree
FALSE
FALSE
 or non-religious"
FALSE
Master's degree
FALSE
TRUE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
TRUE
Bachelor's degree
FALSE
TRUE
FALSE
FALSE
NA
FALSE
TRUE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Doctoral degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
"Some college
 no degree"
FALSE
Bachelor's degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Master's degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Master's degree
Bachelor's degree
FALSE
FALSE
FALSE
Bachelor's degree
FALSE
TRUE
Bachelor's degree
FALSE
FALSE
FALSE
FALSE
FALSE
Bachelor's degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Master's degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Left
FALSE
FALSE
FALSE
TRUE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Bachelor's degree
FALSE
Master's degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
TRUE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
TRUE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Bachelor's degree
FALSE
Doctoral degree
FALSE
TRUE
FALSE
FALSE
Bachelor's degree
"Some college
TRUE
FALSE
FALSE
FALSE
FALSE
FALSE
TRUE
FALSE
FALSE
FALSE
FALSE
Master's degree
FALSE
FALSE
FALSE
Bachelor's degree
FALSE
FALSE
FALSE
Doctoral degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
Master's degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
TRUE
FALSE
Master's degree
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
TRUE
FALSE
FALSE
FALSE
TRUE
FALSE
FALSE
FALSE
Bachelor's degree
FALSE
FALSE
TRUE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
FALSE
TRUE
FALSE
FALSE
