pd_scale
NA
14
NA
NA
32
3
9
24
FALSE
NA
17
6
NA
58
This cause deserves significant resources but less than the top priorities
11
9
NA
4
NA
3
14
NA
NA
NA
FALSE
TRUE
7
8
NA
17
15
NA
NA
1
NA
9
NA
NA
NA
6
NA
NA
42
NA
3
12
6
NA
NA
20
3
NA
NA
12
NA
2
NA
NA
39
6
NA
NA
NA
NA
6
NA
7
1
NA
3
NA
NA
NA
12
NA
NA
5
3
NA
NA
NA
NA
4
FALSE
18
 but should receive some resources"
19
5
12
NA
NA
15
NA
NA
NA
NA
NA
NA
NA
NA
14
NA
NA
3
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
3
16
NA
19
4
5
5
NA
NA
4
NA
NA
NA
NA
NA
8
NA
2
3
NA
8
NA
5
NA
13
0
5
NA
2
NA
NA
4
NA
11
36
10
NA
5
NA
4
NA
7
17
8
14
6
NA
6
5
NA
NA
16
7
NA
NA
2
16
5
5
5
NA
10
NA
NA
NA
NA
NA
NA
13
7
NA
NA
NA
9
FALSE
17
NA
NA
NA
5
15
32
NA
20
4
3
6
NA
2
NA
NA
4
2
NA
NA
7
NA
NA
6
NA
6
4
6
NA
NA
2
5
4
NA
NA
0
NA
NA
NA
1
4
NA
NA
NA
12
NA
1
35
NA
NA
5
NA
NA
13
NA
3
NA
NA
NA
5
NA
NA
6
6
NA
NA
NA
16
NA
NA
2
NA
NA
17
13
0
28
NA
7
20
4
NA
FALSE
39
NA
NA
NA
10
NA
14
5
4
5
19
NA
NA
NA
NA
7
NA
9
1
NA
1
NA
NA
6
NA
NA
NA
6
9
NA
7
NA
NA
19
10
3
NA
NA
5
NA
NA
6
5
NA
NA
18
FALSE
NA
NA
NA
28
NA
4
11
6
14
1
8
NA
NA
4
NA
5
5
NA
NA
32
NA
NA
NA
19
NA
NA
NA
NA
NA
NA
2
26
TRUE
FALSE
NA
3
6
4
4
3
NA
NA
FALSE
12
10
NA
NA
NA
NA
5
NA
3
NA
6
13
NA
4
8
5
8
NA
NA
16
11
NA
NA
8
NA
NA
6
NA
NA
8
1
5
NA
3
NA
NA
NA
8
3
NA
7
NA
21
7
NA
8
NA
9
2
10
NA
NA
NA
2
13
NA
2
3
3
NA
10
10
40
18
NA
NA
18
5
NA
7
NA
5
NA
NA
2
NA
NA
NA
NA
NA
7
5
NA
NA
NA
10
7
NA
12
NA
NA
NA
3
7
NA
2
6
NA
NA
13
13
7
7
NA
3
2
19
7
NA
NA
FALSE
NA
NA
NA
NA
6
NA
NA
NA
7
17
NA
29
NA
NA
5
7
NA
12
10
NA
7
NA
NA
4
NA
11
5
NA
NA
5
19
NA
NA
NA
NA
NA
3
NA
NA
NA
5
0
12
NA
NA
NA
3
12
13
NA
NA
NA
3
NA
NA
3
NA
1
5
7
NA
NA
NA
NA
NA
9
NA
11
NA
NA
NA
TRUE
NA
17
4
NA
NA
3
NA
4
5
NA
3
NA
NA
3
NA
NA
NA
NA
6
13
7
13
NA
NA
7
NA
2
NA
NA
NA
7
4
NA
NA
NA
NA
NA
7
NA
NA
14
NA
5
NA
NA
5
NA
NA
6
NA
6
4
8
12
6
NA
8
NA
NA
7
NA
11
NA
NA
NA
14
29
18
NA
NA
6
NA
NA
1
3
NA
NA
7
2
NA
NA
6
NA
108
NA
11
7
NA
NA
3
NA
NA
20
NA
NA
NA
NA
10
8
13
NA
3
10
NA
NA
3
FALSE
7
4
6
17
NA
2
NA
5
NA
NA
NA
NA
NA
NA
NA
8
36
11
15
NA
NA
NA
5
5
11
NA
5
4
NA
3
NA
NA
7
23
8
NA
NA
NA
20
8
NA
NA
NA
NA
FALSE
NA
6
2
2
3
10
6
NA
2
4
NA
1
NA
10
NA
6
NA
8
8
4
NA
3
NA
NA
20
4
NA
3
NA
FALSE
NA
2
4
0
5
7
3
3
NA
NA
NA
NA
NA
NA
2
NA
NA
NA
NA
NA
5
15
3
NA
FALSE
5
NA
NA
NA
2
18
NA
0
NA
8
NA
14
2
NA
NA
4
NA
2
5
14
6
2
16
2
TRUE
NA
17
NA
12
NA
NA
6
8
5
NA
20
5
43
NA
13
27
3
19
1
NA
5
NA
20
NA
NA
NA
NA
33
NA
NA
NA
NA
NA
NA
NA
8
5
5
NA
9
NA
FALSE
0
NA
NA
10
FALSE
4
NA
2
NA
NA
1
3
4
NA
18
10
8
NA
3
NA
9
NA
NA
NA
FALSE
NA
NA
5
14
17
20
NA
NA
NA
7
NA
5
NA
32
NA
NA
9
12
NA
NA
108
5
NA
18
10
10
3
19
7
NA
4
NA
NA
NA
1
12
4
4
NA
NA
10
NA
NA
2
