first_heard_EA
I don't remember
Other (Book/article/blog post etc.)
Facebook
Giving What We Can
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"80,000 Hours"
Other (Book/article/blog post etc.)
"80,000 Hours"
TED Talk
Other (Book/article/blog post etc.)
TED Talk
"Personal Contact (e.g. friend, colleague, relative)"
Facebook
Other (Book/article/blog post etc.)
Slate Star Codex
I don't remember
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Giving What We Can
Other (Book/article/blog post etc.)
"80,000 Hours"
Giving What We Can
Facebook
Local or university EA group
GiveWell
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
LessWrong
Other (Book/article/blog post etc.)
I don't remember
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
LessWrong
I don't remember
Other (Book/article/blog post etc.)
Doing Good Better (Book)
I don't remember
Other (Book/article/blog post etc.)
"80,000 Hours"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
GiveWell
I don't remember
Doing Good Better (Book)
Doing Good Better (Book)
Other (Book/article/blog post etc.)
Facebook
Facebook
TED Talk
"80,000 Hours"
LessWrong
TED Talk
LessWrong
Other (Book/article/blog post etc.)
TED Talk
I don't remember
Facebook
Local or university EA group
Doing Good Better (Book)
Facebook
"Personal Contact (e.g. friend, colleague, relative)"
GiveWell
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Giving What We Can
Slate Star Codex
Other (Book/article/blog post etc.)
"80,000 Hours"
EA Global
Doing Good Better (Book)
Other (Book/article/blog post etc.)
"80,000 Hours"
TED Talk
"80,000 Hours"
The Life You Can Save (organization)
GiveWell
Doing Good Better (Book)
GiveWell
Search Engine
Doing Good Better (Book)
GiveWell
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
I don't remember
Other (Book/article/blog post etc.)
I don't remember
Animal Charity Evaluators
I don't remember
Local or university EA group
Search Engine
TED Talk
Slate Star Codex
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
GiveWell
"80,000 Hours"
TED Talk
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
Doing Good Better (Book)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
TED Talk
"80,000 Hours"
Other (Book/article/blog post etc.)
LessWrong
"80,000 Hours"
Facebook
I don't remember
The Life You Can Save (organization)
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
"Personal Contact (e.g. friend, colleague, relative)"
Local or university EA group
Giving What We Can
The Life You Can Save (organization)
"Personal Contact (e.g. friend, colleague, relative)"
Animal Charity Evaluators
TED Talk
Facebook
Search Engine
TED Talk
I don't remember
I don't remember
Other (Book/article/blog post etc.)
The Life You Can Save (organization)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
REG / EAF / FRI / The Swiss group
"Personal Contact (e.g. friend, colleague, relative)"
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
LessWrong
TED Talk
I don't remember
"80,000 Hours"
GiveWell
Doing Good Better (Book)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
LessWrong
Other (Book/article/blog post etc.)
I don't remember
LessWrong
Other (Book/article/blog post etc.)
LessWrong
LessWrong
"80,000 Hours"
"80,000 Hours"
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
I don't remember
Facebook
"80,000 Hours"
LessWrong
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
Search Engine
Other (Book/article/blog post etc.)
I don't remember
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
Giving What We Can
LessWrong
Other (Book/article/blog post etc.)
"80,000 Hours"
"80,000 Hours"
"Personal Contact (e.g. friend, colleague, relative)"
LessWrong
LessWrong
"80,000 Hours"
NA
LessWrong
Other (Book/article/blog post etc.)
Other (Book/article/blog post etc.)
"80,000 Hours"
GiveWell
LessWrong
GiveWell
TED Talk
"Personal Contact (e.g. friend, colleague, relative)"
TED Talk
Slate Star Codex
Other (Book/article/blog post etc.)
REG / EAF / FRI / The Swiss group
"Personal Contact (e.g. friend, colleague, relative)"
Other (Book/article/blog post etc.)
Animal Charity Evaluators
I don't remember
Other (Book/article/blog post etc.)
TED Talk
"Personal Contact (e.g. friend, colleague, relative)"
Giving What We Can
Local or university EA group
"Personal Contact (e.g. friend, colleague, relative)"
TED Talk
LessWrong
Facebook
Other (Book/article/blog post etc.)
NA
The Life You Can Save (organization)
Other (Book/article/blog post etc.)
"Personal Contact (e.g. friend, colleague, relative)"
"80,000 Hours"
Other (Book/article/blog post etc.)
Giving What We Can
Other (Book/article/blog post etc.)
TED Talk
TED Talk
Other (Book/article/blog post etc.)
I don't remember
GiveWell
GiveWell
Local or university EA group
"80,000 Hours"
I don't remember
"Personal Contact (e.g. friend, colleague, relative)"
