donate_amf_2017
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
"$10,000"
NA
0
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
3500
NA
NA
NA
NA
NA
NA
NA
NA
2600
NA
NA
NA
NA
NA
NA
NA
100
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
200
NA
NA
NA
NA
200
<e5><a3>800
3000
NA
NA
NA
100
NA
NA
NA
NA
NA
NA
NA
NA
NA
$300
$100
250
NA
100
NA
1800
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
100
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
25000
NA
20
NA
NA
NA
200
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
$100
NA
NA
NA
200
NA
NA
NA
NA
NA
1652
NA
NA
2000
NA
50
NA
NA
0
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
8400
0
NA
300
NA
NA
300
NA
NA
NA
NA
NA
NA
NA
<e5><a3>60
NA
NA
NA
0
NA
2000
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
1000
NA
NA
NA
NA
65000
NA
NA
NA
0
NA
NA
NA
NA
NA
NA
NA
NA
70 % of donations
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
500
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
5700
NA
NA
0
NA
450
NA
NA
NA
2000
800
2000
NA
NA
0
NA
0
1000
700
417
NA
NA
NA
NA
NA
NA
NA
NA
1000
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
360
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
0
0
NA
0
500
NA
NA
NA
NA
$100+
"$3,000"
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
100
NA
NA
NA
NA
NA
NA
NA
150
5
NA
NA
NA
NA
0
NA
NA
NA
NA
NA
NA
NA
NA
no
120
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
100
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
250
NA
1800 euro
NA
NA
NA
NA
NA
NA
NA
NA
600
NA
NA
NA
"$1,000"
NA
NA
NA
NA
NA
NA
NA
NA
100
NA
NA
NA
NA
NA
NA
NA
10000
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
2000
NA
50 US dollars
NA
6635
$20
NA
NA
NA
NA
NA
NA
NA
4600
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
160
NA
NA
NA
NA
30
NA
NA
NA
NA
NA
NA
NA
NA
NA
"17,000"
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
0
$250
NA
NA
NA
NA
0
NA
NA
NA
NA
NA
NA
NA
NA
60
NA
NA
0
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
1500
NA
0
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
2000
NA
NA
16000
NA
NA
30<89><e2><c2>
NA
500
NA
NA
NA
0
NA
NA
NA
NA
7000
NA
NA
8000
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
0
3000
NA
NA
NA
NA
NA
NA
NA
<e5><a3>10
NA
NA
NA
NA
NA
NA
NA
0
NA
NA
NA
NA
1000
NA
60
NA
NA
NA
NA
100
NA
NA
NA
<e5><a3>900
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
1000
NA
30
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
2000
NA
2000 GBP
NA
0
1912
NA
NA
NA
NA
0
NA
NA
NA
NA
NA
NA
250
NA
NA
NA
NA
NA
NA
NA
300
NA
NA
NA
NA
NA
NA
0
NA
NA
NA
NA
NA
NA
100
0
NA
mostly I donated here
NA
