Local grou,Lat,Long
Harvard College Effective Altruism,42.3601,-71.0589
Harvard Law School Effective Altruism,42.3601,-71.0589
Haverford Effective Altruism,39.9526,-75.1652
London School of Economics Students' Union Effective Altruism Society,51.5074,-0.1278
MIT Effective Altruism,42.3601,-71.0589
Penn Effective Altruism,40.8148,-77.8653
Philadelphia Effective Altruism,39.9526,-75.1652
Portland Effective Altruism,45.5051,-122.675
Princeton Effective Altruism,40.3573,-74.6672
Rice University Effective Altruism,29.7604,-95.3698
Seattle Effective Altruists,47.6062,-122.3321
"Software, Data, and Tech Effective Altruism in London",51.5074,-0.1278
South Bay Effective Altruism,37.7749,-122.4194
Southampton Effective Altruism Society,50.9097,-1.4044
Stanford Effective Altruism,37.7749,-122.4194
The Life You Can Save Porto,41.1579,-8.6291
Tufts Effective Altruism,42.3601,-71.0589
Uchicago Effective Altruism,41.8781,-87.6298
UCL Effective Altruism Society,51.5074,-0.1278
Vanderbilt Effective Altruism (name might change),36.1627,-86.7816
Yale Effective Altruism,41.3083,-72.9279
Altruísmo Eficaz Porto Alegre,-30.0346,-51.2177
Effective Altruism São Paulo,-23.5505,-46.6333
Altruisme Efficace France,,
Altruismo Efficace Italia,,
Altruísmo Eficaz Brasil,,
Chinese effective altruism community,,
Czech Association for Effective Altruism (CZEA),,
EA Mexico,,
EA Pakistan,,
EA Saar,,
"EA Spain (EA Madrid, EA Barcelona)",,
EA Turkey,,
Effective Altruism Australia,,
Effective Altruism Cameroon,,
Effective Altruism Colorado,,
Effective Altruism Denmark,,
Effective Altruism Estonia,,
Effective Altruism Finland,,
Effective Altruism Israel,,
Effective Altruism Japan,,
Effective Altruism Latvia,,
"Effective Altruism Malaysia, (Effective Altruism Singapore)",,
Effective Altruism Netherlands,,
Effective Altruism Norway,,
Effective Altruism Philippines,,
Effective Altruism Rotterdam,,
Effective Altruism Russia (Effective Altruism St Petersburg),,
Effective Altruism Slovakia,,
Effective Altruism South Korea,,
